,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,台湾,台北,17,16759,849,13742,5.07,82.00
2,内蒙古,呼伦贝尔,3,589,0,83,0.00,14.09
3,内蒙古,通辽,0,9,0,7,0.00,77.78
4,内蒙古,呼和浩特,0,10,0,10,0.00,100.00
5,内蒙古,境外输入,0,323,0,323,0.00,100.00
6,内蒙古,锡林郭勒,0,29,0,29,0.00,100.00
7,内蒙古,鄂尔多斯,0,12,0,12,0.00,100.00
8,内蒙古,阿拉善盟,0,165,0,165,0.00,100.00
9,内蒙古,包头,0,11,0,11,0.00,100.00
10,内蒙古,乌兰察布,0,3,0,3,0.00,100.00
11,内蒙古,赤峰,0,9,0,9,0.00,100.00
12,内蒙古,巴彦淖尔,0,8,1,7,12.50,87.50
13,内蒙古,兴安盟,0,1,0,1,0.00,100.00
14,内蒙古,乌海,0,2,0,2,0.00,100.00
15,浙江,绍兴,39,226,0,42,0.00,18.58
16,浙江,宁波,6,214,0,157,0.00,73.36
17,浙江,杭州,0,203,0,181,0.00,89.16
18,浙江,境外输入,1,285,0,268,0.00,94.04
19,浙江,丽水,0,17,0,17,0.00,100.00
20,浙江,省十里丰监狱,0,36,0,36,0.00,100.00
21,浙江,台州,0,147,0,147,0.00,100.00
22,浙江,舟山,0,10,0,10,0.00,100.00
23,浙江,衢州,0,14,0,14,0.00,100.00
24,浙江,金华,0,55,0,55,0.00,100.00
25,浙江,嘉兴,0,46,0,46,0.00,100.00
26,浙江,湖州,0,10,0,10,0.00,100.00
27,浙江,温州,0,504,1,503,0.20,99.80
28,广西,境外输入,2,246,0,73,0.00,29.67
29,广西,桂林,0,32,0,32,0.00,100.00
30,广西,北海,0,44,1,43,2.27,97.73
31,广西,防城港,0,19,0,19,0.00,100.00
32,广西,来宾,0,11,0,11,0.00,100.00
33,广西,柳州,0,24,0,24,0.00,100.00
34,广西,河池,0,28,1,27,3.57,96.43
35,广西,南宁,0,56,0,56,0.00,100.00
36,广西,玉林,0,11,0,11,0.00,100.00
37,广西,钦州,0,8,0,8,0.00,100.00
38,广西,贵港,0,8,0,8,0.00,100.00
39,广西,梧州,0,5,0,5,0.00,100.00
40,广西,百色,0,3,0,3,0.00,100.00
41,广西,贺州,0,4,0,4,0.00,100.00
42,云南,境外输入,3,1310,0,1244,0.00,94.96
43,云南,德宏州,0,294,0,243,0.00,82.65
44,云南,昭通市,0,25,0,25,0.00,100.00
45,云南,曲靖,0,13,0,13,0.00,100.00
46,云南,昆明,0,53,0,53,0.00,100.00
47,云南,保山市,0,9,0,9,0.00,100.00
48,云南,玉溪,0,14,1,13,7.14,92.86
49,云南,红河,0,9,0,9,0.00,100.00
50,云南,地区待确认,0,0,0,0,0.00,0.00
51,云南,大理,0,13,0,13,0.00,100.00
52,云南,西双版纳州,0,15,1,14,6.67,93.33
53,云南,文山州,0,2,0,2,0.00,100.00
54,云南,普洱,0,4,0,4,0.00,100.00
55,云南,楚雄州,0,4,0,4,0.00,100.00
56,云南,丽江市,0,7,0,7,0.00,100.00
57,云南,临沧,0,1,0,1,0.00,100.00
58,香港,地区待确认,5,12495,213,12180,1.70,97.48
59,上海,境外输入,3,2540,0,2469,0.00,97.20
60,上海,浦东,0,82,1,76,1.22,92.68
61,上海,青浦,0,7,0,6,0.00,85.71
62,上海,嘉定,0,9,2,7,22.22,77.78
63,上海,地区待确认,0,0,0,0,0.00,0.00
64,上海,宝山,0,26,1,25,3.85,96.15
65,上海,黄浦,0,22,0,22,0.00,100.00
66,上海,长宁,0,14,0,14,0.00,100.00
67,上海,境外来沪,0,1,0,1,0.00,100.00
68,上海,外地来沪,0,113,1,112,0.88,99.12
69,上海,松江,0,16,0,16,0.00,100.00
70,上海,徐汇,0,18,1,17,5.56,94.44
71,上海,静安,0,16,1,15,6.25,93.75
72,上海,闵行,0,19,0,19,0.00,100.00
73,上海,崇明,0,4,0,4,0.00,100.00
74,上海,金山,0,4,0,4,0.00,100.00
75,上海,虹口,0,7,0,7,0.00,100.00
76,上海,奉贤,0,9,0,9,0.00,100.00
77,上海,杨浦,0,9,0,9,0.00,100.00
78,上海,普陀,0,11,0,11,0.00,100.00
79,广东,境外输入,2,1777,0,1728,0.00,97.24
80,广东,东莞,2,104,1,101,0.96,97.12
81,广东,中山,0,68,0,67,0.00,98.53
82,广东,广州,0,524,1,522,0.19,99.62
83,广东,汕头,0,25,0,25,0.00,100.00
84,广东,深圳,0,431,3,428,0.70,99.30
